2019-03-31 22:37:00.8148||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-03-31 22:37:05.3594||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-03-31 22:37:05.4004||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-03-31 22:37:05.4161||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-03-31 22:37:05.4350||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-03-31 22:37:05.4504||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-03-31 22:37:05.4649||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-03-31 22:37:05.4822||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-03-31 22:37:05.4994||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-03-31 22:37:05.5163||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-03-31 22:37:05.5331||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-03-31 22:37:05.5501||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-03-31 22:37:05.5501||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-03-31 22:37:05.5696||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 1481a2d3-d0fa-42fb-b8c4-0a8ce45e5605 |url: |action: 
2019-03-31 22:37:05.5696||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 1481a2d3-d0fa-42fb-b8c4-0a8ce45e5605 |url: |action: 
2019-03-31 22:37:05.5910||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-03-31 22:37:05.5910||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 12db14e9-6a32-4ba6-90ba-2ca203ffbf02 |url: |action: 
2019-03-31 22:37:05.5910||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 12db14e9-6a32-4ba6-90ba-2ca203ffbf02 |url: |action: 
2019-03-31 22:37:05.6171||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-03-31 22:37:05.6171||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 7e6d3b2b-24f2-4c2d-8341-10ec3f02c5fc |url: |action: 
2019-03-31 22:37:05.6171||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 7e6d3b2b-24f2-4c2d-8341-10ec3f02c5fc |url: |action: 
2019-03-31 22:37:05.6374||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-03-31 22:37:05.6374||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 42784674-e8f1-491b-a232-fd7c5e8579e6 |url: |action: 
2019-03-31 22:37:05.6374||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 42784674-e8f1-491b-a232-fd7c5e8579e6 |url: |action: 
2019-03-31 23:04:46.7379||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-03-31 23:04:49.8477||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-03-31 23:04:49.8866||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-03-31 23:04:49.9005||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-03-31 23:04:49.9141||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-03-31 23:04:49.9302||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-03-31 23:04:49.9518||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-03-31 23:04:49.9863||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-03-31 23:04:50.0133||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-03-31 23:04:50.0443||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-03-31 23:04:50.0680||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-03-31 23:04:50.0931||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-03-31 23:04:50.1103||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-03-31 23:04:50.1148||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 750453d4-8e2d-43f1-ae60-1562d6c40904 |url: |action: 
2019-03-31 23:04:50.1148||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 750453d4-8e2d-43f1-ae60-1562d6c40904 |url: |action: 
2019-03-31 23:04:50.1445||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-03-31 23:04:50.1445||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 6411aa79-6ada-49bf-8c2e-123d3f3aedd9 |url: |action: 
2019-03-31 23:04:50.1445||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 6411aa79-6ada-49bf-8c2e-123d3f3aedd9 |url: |action: 
2019-03-31 23:04:50.1682||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-03-31 23:04:50.1682||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 88cd0f70-755a-48cd-b5ba-a5c48efaa206 |url: |action: 
2019-03-31 23:04:50.1682||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 88cd0f70-755a-48cd-b5ba-a5c48efaa206 |url: |action: 
2019-03-31 23:04:50.1922||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-03-31 23:04:50.1922||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 4d55f47d-93aa-4876-925a-2e1c253aab47 |url: |action: 
2019-03-31 23:04:50.1922||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 4d55f47d-93aa-4876-925a-2e1c253aab47 |url: |action: 
2019-03-31 23:24:19.0879||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-03-31 23:24:23.2806||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-03-31 23:24:23.3594||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-03-31 23:24:23.3955||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-03-31 23:24:23.4196||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-03-31 23:24:23.4402||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-03-31 23:24:23.4654||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-03-31 23:24:23.4878||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-03-31 23:24:23.5067||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-03-31 23:24:23.5251||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-03-31 23:24:23.5442||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-03-31 23:24:23.5640||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-03-31 23:24:23.5939||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-03-31 23:24:23.5939||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 201a68a8-ad0a-4231-9394-9a6486fd4b49 |url: |action: 
2019-03-31 23:24:23.6207||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 201a68a8-ad0a-4231-9394-9a6486fd4b49 |url: |action: 
2019-03-31 23:24:23.6425||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-03-31 23:24:23.6425||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 033a73ce-d887-43b1-a97e-c0327eb54115 |url: |action: 
2019-03-31 23:24:23.6425||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 033a73ce-d887-43b1-a97e-c0327eb54115 |url: |action: 
2019-03-31 23:24:23.6659||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-03-31 23:24:23.6659||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 950f2976-2d1d-4344-890a-fa0437dcddb1 |url: |action: 
2019-03-31 23:24:23.6659||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 950f2976-2d1d-4344-890a-fa0437dcddb1 |url: |action: 
2019-03-31 23:24:23.6897||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-03-31 23:24:23.6897||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 2b6bcd0e-09bb-4ee7-8396-88aab7f6458f |url: |action: 
2019-03-31 23:24:23.6897||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 2b6bcd0e-09bb-4ee7-8396-88aab7f6458f |url: |action: 
2019-03-31 23:34:37.2347||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-03-31 23:34:40.1840||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-03-31 23:34:40.2429||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-03-31 23:34:40.2776||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-03-31 23:34:40.3069||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-03-31 23:34:40.3283||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-03-31 23:34:40.3447||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-03-31 23:34:40.3610||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-03-31 23:34:40.3786||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-03-31 23:34:40.3992||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-03-31 23:34:40.4182||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-03-31 23:34:40.4348||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-03-31 23:34:40.4640||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-03-31 23:34:40.4713||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 172c78e5-f64f-4d32-802c-95e357a8a8af |url: |action: 
2019-03-31 23:34:40.4713||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 172c78e5-f64f-4d32-802c-95e357a8a8af |url: |action: 
2019-03-31 23:34:40.5013||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-03-31 23:34:40.5035||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: cb0f84c8-2909-4da0-bb51-3dcbca25cce3 |url: |action: 
2019-03-31 23:34:40.5035||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: cb0f84c8-2909-4da0-bb51-3dcbca25cce3 |url: |action: 
2019-03-31 23:34:40.5275||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-03-31 23:34:40.5275||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 4c9de112-66e3-40d6-8c2e-821e2abc3272 |url: |action: 
2019-03-31 23:34:40.5275||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 4c9de112-66e3-40d6-8c2e-821e2abc3272 |url: |action: 
2019-03-31 23:34:40.5469||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-03-31 23:34:40.5469||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: a8cd719f-d1a7-45ce-aab4-a4064d271664 |url: |action: 
