2019-04-01 21:55:22.5754||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-04-01 21:55:26.7451||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-04-01 21:55:26.7829||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-04-01 21:55:26.8007||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-04-01 21:55:26.8168||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-04-01 21:55:26.8325||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-04-01 21:55:26.8477||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-04-01 21:55:26.8669||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-04-01 21:55:26.8814||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-04-01 21:55:26.8955||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-04-01 21:55:26.9225||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-04-01 21:55:26.9429||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-04-01 21:55:26.9593||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-04-01 21:55:26.9593||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: e1592ac9-544e-47d3-bb1c-95090d145646 |url: |action: 
2019-04-01 21:55:26.9733||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: e1592ac9-544e-47d3-bb1c-95090d145646 |url: |action: 
2019-04-01 21:55:26.9903||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-04-01 21:55:26.9903||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 6da3bc8e-39d3-4c22-9f09-eeb05b20fa83 |url: |action: 
2019-04-01 21:55:26.9903||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 6da3bc8e-39d3-4c22-9f09-eeb05b20fa83 |url: |action: 
2019-04-01 21:55:27.0102||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-04-01 21:55:27.0102||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: b7e36b96-0d62-45d1-9aed-64d6303dd3a1 |url: |action: 
2019-04-01 21:55:27.0102||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: b7e36b96-0d62-45d1-9aed-64d6303dd3a1 |url: |action: 
2019-04-01 21:55:27.0402||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-04-01 21:55:27.0402||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: b96cff0f-8083-4842-a723-61a62a7f54ae |url: |action: 
