2019-04-02 23:11:55.4169||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: abdab887-04f8-4eb4-9d39-8898ed6d01f0 |url: |action: 
2019-04-02 23:14:02.3806||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-04-02 23:14:06.5773||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-04-02 23:14:06.6650||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-04-02 23:14:06.7006||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-04-02 23:14:06.7371||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-04-02 23:14:06.7665||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-04-02 23:14:06.7913||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-04-02 23:14:06.8088||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-04-02 23:14:06.8272||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-04-02 23:14:06.8462||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-04-02 23:14:06.8681||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-04-02 23:14:06.8972||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-04-02 23:14:06.9322||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-04-02 23:14:06.9381||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 681ebbde-cbc5-4f74-af7f-406cb040362a |url: |action: 
2019-04-02 23:14:06.9381||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 681ebbde-cbc5-4f74-af7f-406cb040362a |url: |action: 
2019-04-02 23:14:06.9646||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-04-02 23:14:06.9646||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: b8c9b350-dfe7-4ece-ab86-7693354c21b3 |url: |action: 
2019-04-02 23:14:06.9676||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: b8c9b350-dfe7-4ece-ab86-7693354c21b3 |url: |action: 
2019-04-02 23:14:07.0016||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-04-02 23:14:07.0016||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: cd394766-2b6d-4ebd-938d-66024298c0dc |url: |action: 
2019-04-02 23:14:07.0016||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: cd394766-2b6d-4ebd-938d-66024298c0dc |url: |action: 
2019-04-02 23:14:07.0248||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-04-02 23:14:07.0248||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: be501d91-35b0-4b46-ae2f-96746a2e44d7 |url: |action: 
2019-04-02 23:14:07.0248||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: be501d91-35b0-4b46-ae2f-96746a2e44d7 |url: |action: 
2019-04-02 23:15:40.7037||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-04-02 23:15:44.2435||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-04-02 23:15:44.2917||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-04-02 23:15:44.3163||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-04-02 23:15:44.3434||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-04-02 23:15:44.3613||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
